fraction,mode,n_samples,mean_score_drop,flip_rate,base_accuracy,dataset,model
0.1,top,50,4.137158027658971,0.02,0.9457777777777778,ECG5000,MrSQM
0.2,bottom,50,0.7685889341964364,0.0,0.9457777777777778,ECG5000,MrSQM
0.2,random,50,2.1658700124902768,0.02,0.9457777777777778,ECG5000,MrSQM
0.2,top,50,6.232774328422767,0.2,0.9457777777777778,ECG5000,MrSQM
0.05,bottom,50,0.0053290394152616,0.0,0.9988385598141696,ECGFiveDays,MrSQM
0.05,random,50,0.2711588359078776,0.0466666666666666,0.9988385598141696,ECGFiveDays,MrSQM
0.05,top,50,1.0990335895595176,0.24,0.9988385598141696,ECGFiveDays,MrSQM
0.1,bottom,50,0.0121396704400662,0.0,0.9988385598141696,ECGFiveDays,MrSQM
0.1,random,50,0.4618638890271443,0.1,0.9988385598141696,ECGFiveDays,MrSQM
0.1,top,50,1.4394952979143023,0.28,0.9988385598141696,ECGFiveDays,MrSQM
0.2,bottom,50,0.0631772230547789,0.0,0.9988385598141696,ECGFiveDays,MrSQM
0.2,random,50,0.755723389559434,0.1066666666666666,0.9988385598141696,ECGFiveDays,MrSQM
0.2,top,50,1.8595312860946367,0.5,0.9988385598141696,ECGFiveDays,MrSQM
0.05,bottom,50,0.4417589251741565,0.18,0.6104972375690608,EOGHorizontalSignal,MrSQM
0.05,random,50,0.5161919723799283,0.2,0.6104972375690608,EOGHorizontalSignal,MrSQM
0.05,top,50,0.5985418259180624,0.32,0.6104972375690608,EOGHorizontalSignal,MrSQM
0.1,bottom,50,0.5654599047593858,0.22,0.6104972375690608,EOGHorizontalSignal,MrSQM
0.1,random,50,0.8735974684153822,0.3266666666666666,0.6104972375690608,EOGHorizontalSignal,MrSQM
0.1,top,50,0.9093679410792396,0.42,0.6104972375690608,EOGHorizontalSignal,MrSQM
0.2,bottom,50,1.2666066249711372,0.42,0.6104972375690608,EOGHorizontalSignal,MrSQM
0.2,random,50,1.3720614654685794,0.4266666666666666,0.6104972375690608,EOGHorizontalSignal,MrSQM
0.2,top,50,0.9845327573327718,0.34,0.6104972375690608,EOGHorizontalSignal,MrSQM
0.05,bottom,50,0.5969279018375133,0.14,0.4475138121546961,EOGVerticalSignal,MrSQM
0.05,random,50,0.578232172530345,0.1533333333333333,0.4475138121546961,EOGVerticalSignal,MrSQM
0.05,top,50,0.9551144455620836,0.32,0.4475138121546961,EOGVerticalSignal,MrSQM
0.1,bottom,50,1.0158312597260994,0.2,0.4475138121546961,EOGVerticalSignal,MrSQM
0.1,random,50,1.010750068440241,0.1933333333333333,0.4475138121546961,EOGVerticalSignal,MrSQM
0.1,top,50,2.0331211101877176,0.54,0.4475138121546961,EOGVerticalSignal,MrSQM
0.2,bottom,50,1.3148621645224094,0.22,0.4475138121546961,EOGVerticalSignal,MrSQM
0.2,random,50,1.5949420699939525,0.36,0.4475138121546961,EOGVerticalSignal,MrSQM
0.2,top,50,2.97091128528834,0.58,0.4475138121546961,EOGVerticalSignal,MrSQM
0.05,bottom,50,0.1707355316773129,0.02,0.7697841726618705,Earthquakes,MrSQM
0.05,random,50,0.0714295483304374,0.0,0.7697841726618705,Earthquakes,MrSQM
0.05,top,50,0.1588264080643002,0.0,0.7697841726618705,Earthquakes,MrSQM
0.1,bottom,50,0.2728146014849308,0.0,0.7697841726618705,Earthquakes,MrSQM
0.1,random,50,0.0485673753462268,0.0066666666666666,0.7697841726618705,Earthquakes,MrSQM
0.1,top,50,0.2609652814164911,0.0,0.7697841726618705,Earthquakes,MrSQM
0.2,bottom,50,0.0992085268398405,0.0,0.7697841726618705,Earthquakes,MrSQM
0.2,random,50,0.1322736114715021,0.0,0.7697841726618705,Earthquakes,MrSQM
0.2,top,50,0.4962390404911774,0.0,0.7697841726618705,Earthquakes,MrSQM
0.05,bottom,50,2.0109339317265302,0.2,0.7560627674750356,ElectricDevices,MrSQM
0.05,random,50,3.7199378946402426,0.38,0.7560627674750356,ElectricDevices,MrSQM
0.05,top,50,0.1299444138600548,0.1,0.7560627674750356,ElectricDevices,MrSQM
0.1,bottom,50,2.806326707703136,0.36,0.7560627674750356,ElectricDevices,MrSQM
0.1,random,50,4.421509891761026,0.4733333333333333,0.7560627674750356,ElectricDevices,MrSQM
0.1,top,50,2.5167065312830057,0.26,0.7560627674750356,ElectricDevices,MrSQM
0.2,bottom,50,6.005542029856574,0.6,0.7560627674750356,ElectricDevices,MrSQM
0.2,random,50,5.969447080977554,0.5466666666666666,0.7560627674750356,ElectricDevices,MrSQM
