dataset,model,total_time,accuracy,f1_macro,f1_weighted,seed
FreezerRegularTrain,lr_classifier,0.0030928749984013,0.9817543859649124,0.9817487684729064,0.9817487684729064,4
FreezerRegularTrain,lr_classifier,0.0033040419984899,0.9817543859649124,0.9817487684729064,0.9817487684729064,5
FreezerSmallTrain,lr_classifier,0.0027780419986811,0.8136842105263158,0.8134499233817689,0.8134499233817689,1
FreezerSmallTrain,lr_classifier,0.0027264580021437,0.8136842105263158,0.8134499233817689,0.8134499233817689,2
FreezerSmallTrain,lr_classifier,0.0031010409984446,0.8136842105263158,0.8134499233817689,0.8134499233817689,3
FreezerSmallTrain,lr_classifier,0.0027560419985093,0.8136842105263158,0.8134499233817689,0.8134499233817689,4
FreezerSmallTrain,lr_classifier,0.0026888329994108,0.8136842105263158,0.8134499233817689,0.8134499233817689,5
Fungi,lr_classifier,0.0069743340027343,0.8440860215053764,0.8705380279437,0.8448446070940269,1
Fungi,lr_classifier,0.0076170419997652,0.8440860215053764,0.8705380279437,0.8448446070940269,2
Fungi,lr_classifier,0.0078514579981856,0.8440860215053764,0.8705380279437,0.8448446070940269,3
Fungi,lr_classifier,0.0079292079972219,0.8440860215053764,0.8705380279437,0.8448446070940269,4
Fungi,lr_classifier,0.007714291998127,0.8440860215053764,0.8705380279437,0.8448446070940269,5
GestureMidAirD1,lr_classifier,0.1476167920009174,0.5846153846153846,0.5699018929788161,0.569901892978816,1
GestureMidAirD1,lr_classifier,0.1499785410014738,0.5846153846153846,0.5699018929788161,0.569901892978816,2
GestureMidAirD1,lr_classifier,0.1562892090005334,0.5846153846153846,0.5699018929788161,0.569901892978816,3
GestureMidAirD1,lr_classifier,0.1510647909999534,0.5846153846153846,0.5699018929788161,0.569901892978816,4
GestureMidAirD1,lr_classifier,0.1445615000011457,0.5846153846153846,0.5699018929788161,0.569901892978816,5
GestureMidAirD2,lr_classifier,0.1712717500013241,0.5923076923076923,0.5948283742401389,0.594828374240139,1
GestureMidAirD2,lr_classifier,0.1693883750012901,0.5923076923076923,0.5948283742401389,0.594828374240139,2
GestureMidAirD2,lr_classifier,0.1645084160008991,0.5923076923076923,0.5948283742401389,0.594828374240139,3
GestureMidAirD2,lr_classifier,0.1688635840000643,0.5923076923076923,0.5948283742401389,0.594828374240139,4
GestureMidAirD2,lr_classifier,0.1706842499988852,0.5923076923076923,0.5948283742401389,0.594828374240139,5
GestureMidAirD3,lr_classifier,0.1668145000003278,0.3307692307692307,0.3377222394463773,0.3377222394463773,1
GestureMidAirD3,lr_classifier,0.1617350000014994,0.3307692307692307,0.3377222394463773,0.3377222394463773,2
GestureMidAirD3,lr_classifier,0.1692703330008953,0.3307692307692307,0.3377222394463773,0.3377222394463773,3
GestureMidAirD3,lr_classifier,0.1680851250021078,0.3307692307692307,0.3377222394463773,0.3377222394463773,4
